"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.59136852589445,0.530456175298151,0.727675024386739,0.830204147735229,1.20902370256067,1.53283289636916,1.91007453479667,2.5523163598972,2.78722702141493
"2",3,9,1.75499020627264,0.529149456814071,0.876084787779377,0.98423157957394,1.37524378251,1.70210475764846,2.07721159558943,2.70622987594013,2.93408134032801
"3",4,10,1.76529066275489,0.489603538512351,0.93994293080015,1.04418005836451,1.41518131946284,1.72023895931011,2.06637900677455,2.64013739215873,2.84640695092994
"4",5,11,1.82308579863421,0.455771449658551,1.04205105464452,1.14352563714477,1.49858260181726,1.78524874039038,2.10640370775976,2.63175307843258,2.81897135498174
"5",6,12,1.77859246269815,0.408037095086547,1.07082884810153,1.16469275733427,1.48908279198088,1.74748828461783,2.03423737232879,2.49862007853037,2.66299852591944
"6",7,13,2.01619770199847,0.395408900990429,1.31704727791854,1.41277660865988,1.73732280392037,1.99040875781474,2.26698517180472,2.70760463851521,2.86183224926813
"7",8,14,1.55929667537475,0.305803237508316,1.01858435793977,1.09261996814449,1.34361906549173,1.53935189769384,1.75325189489857,2.09402029715696,2.21329758849582
"8",9,15,1.79049153977956,0.307066765781827,1.23996744112719,1.31707065381772,1.57494266396997,1.77296862542204,1.986951582753,2.32369371737531,2.44055947187393
"9",10,16,1.46965399894965,0.252043581468896,1.01777811731202,1.08106523280236,1.2927292493685,1.45527100937018,1.63091043684674,1.90731186839076,2.00323648999512
"10",11,17,1.35694535122035,0.229365627403593,0.945162155700335,1.00296246891482,1.19601802887306,1.34404417165406,1.50381830889556,1.75494179277347,1.84201811493324
"11",12,18,1.47798432773861,0.230822372475341,1.0606270711092,1.11988477800177,1.31645190030698,1.4659857174557,1.62644432660481,1.87701735383925,1.96350747721697
"12",13,19,1.37875317519709,0.210257888059095,0.997810509324474,1.05207329155434,1.23172227948305,1.36808002077798,1.51415540441477,1.74184450483368,1.82033250761614
"13",14,20,1.11345371089512,0.180626043344727,0.787946115230341,0.83391554196058,0.986894855486927,1.10370195114864,1.2293885607682,1.42626051615493,1.49436113110517
