"","t_start","t_end","Mean(R)","Std(R)","Quantile.0.025(R)","Quantile.0.05(R)","Quantile.0.25(R)","Median(R)","Quantile.0.75(R)","Quantile.0.95(R)","Quantile.0.975(R)"
"1",2,8,1.93156255395978,0.394278555289046,1.23758857487014,1.33189597855952,1.65307255189173,1.90480254752437,2.18090977457913,2.62252951722712,2.77753004351657
"2",3,9,1.6165664582418,0.32331329164836,1.04615657655065,1.1239744643485,1.38837464671437,1.59506407887256,1.82134032377929,2.18252012076179,2.3091098396241
"3",4,10,1.926299240655,0.330357594333422,1.33401822193156,1.41696966669299,1.69440111292234,1.9074472238367,2.13766065912078,2.4999444810814,2.62567443240917
"4",5,11,1.80056361066544,0.284694104085971,1.28634904160301,1.35923372976203,1.6012526654984,1.7855813464127,1.98355168888342,2.29300591869876,2.39989398643765
"5",6,12,1.58038681203523,0.241006729407876,1.14373377208806,1.2059321314196,1.41185360919059,1.56815277856919,1.73559073194295,1.99657787454357,2.08654423453592
"6",7,13,1.56776341448559,0.22396620206937,1.15984000469655,1.21843681707269,1.41145827058309,1.5571113515412,1.71246208139311,1.95342896884684,2.03620588135291
"7",8,14,1.64472093468726,0.214124427354297,1.25203777982868,1.30906248618557,1.49568388693323,1.63543811689401,1.78364259859652,2.01204666455049,2.09014620246603
"8",9,15,1.48867502906365,0.18755542428068,1.14393876698882,1.19417955463745,1.35824857906145,1.48080589350262,1.61052634917729,1.81001501841151,1.87812191289509
"9",10,16,1.71767133919233,0.189685067282034,1.36611499042642,1.4180215691977,1.58621253119599,1.71069400386539,1.84152616149206,2.04112291195336,2.10887316897657
"10",11,17,1.75098188268389,0.174229209265438,1.42620350103572,1.47458930615125,1.63053046599095,1.74520646743476,1.86513883786768,2.04707591447467,2.10857735029177
"11",12,18,1.92824273488326,0.165345450421901,1.61780222323316,1.66456943031947,1.81429361551241,1.92351871457672,2.03704296707042,2.20803069803253,2.2655269626717
"12",13,19,2.14576782854649,0.154057151900442,1.85443002025421,1.89880851181457,2.03994653264522,2.14208207056012,2.24757166914465,2.40529992237418,2.45805012849095
"13",14,20,1.72869581673878,0.118727316141489,1.5038114414674,1.538151221741,1.6472032049541,1.7259785026336,1.80722654087257,1.92850963318301,1.96902154189383
"14",15,21,1.57820573965019,0.103170536704365,1.38245703417723,1.41242523418942,1.50744739307957,1.57595815354817,1.64651417902148,1.7516531266565,1.78672660074566
"15",16,22,1.47294423214674,0.0927867650792204,1.29668332360527,1.32371807423729,1.40934405067377,1.4709963520425,1.53442117573651,1.62881491520216,1.66027422680873
"16",17,23,1.30732442879244,0.0825175862486818,1.15058121655873,1.17462001475377,1.25076148229621,1.3055886846623,1.36199537161445,1.44594973931779,1.47393123446107
"17",18,24,1.41325036614684,0.0829889190237982,1.25525884277677,1.27957189010703,1.35642512631118,1.41162627279547,1.46830528195838,1.55246886488895,1.58047107545838
"18",19,25,1.26021489532504,0.0743881332186793,1.11861927175947,1.14040402156048,1.2092750913933,1.25875153370222,1.30955958033944,1.38501751301953,1.41012631572294
"19",20,26,1.15840490457009,0.0692279341567724,1.0266806488544,1.04693516733404,1.1109902469275,1.1570261433561,1.20431666400255,1.27457780329677,1.29796419251434
"20",21,27,1.2451119561763,0.0708319444009229,1.11013894219014,1.13093916486041,1.19663273690065,1.24376905122542,1.29212735022539,1.36386558991968,1.38771627582998
